"Age" "Sex" "BSA" "SBP" "DBP" "Pulse rate" "Diabetes" "Smoking" "Duration of activity" "Medication (n)" "Assessment centre" "HbA1c" "C-reactive protein" "HDL" "Glucose" "Triglycerides" "eGFR cystatin" "Cardiac index" "PDSRll" "PDSRrr" "Err Global" "Ell Global" "AAo distensibility" "DAo distensibility" "LVSVi" "LAVmaxi" "LAVmini" "LVEF" "LVCO" "RVSVi"
"Cardiac index" -0.139013679041811 0.0150845659039136 -0.455901212738298 0.0627665024708205 -0.0605896161418988 0.0460840775866855 -0.0904878950143681 -0.0444226553649337 0.0091063626156606 -0.076930536318442 -0.104861041536577 -0.0318089119475859 -0.0486913725956336 0.00989607931004208 0.0161619331141206 -0.0481451831211039 0.0463204682154023 0 0.0324266812980812 0.0516131452986478 0.261461835912067 0.108654548097516 0.00256016726281352 -0.00585100814738782 -0.0790598448999464 0.136846236960828 -0.106841481229413 -0.413780108607835 0.474986835523101 0.181543405367524
"PDSRll" -0.188322665807738 -0.192641270528798 0.0557611495691489 -0.00397914850779505 -0.0712136778859133 -0.0305330867674426 -0.00482769156730552 0.00581904936210808 -0.0139455034873839 0 -0.0373118494945011 -0.00213545175599382 -0.017030559715108 0.0202401164907408 -0.00241298514010656 -0.0452184583099714 -0.00286765284314413 0.0262295466828872 0 0.366316489340342 -0.118801281291596 0.499426834348641 0.0604827236865795 0.0044757040032837 0.0419090350287571 0.00711514062652995 0.0378598415633007 0.0962473644424813 -0.0813342391447473 0.00581145463598001
"PDSRrr" -0.136267044532829 -0.259859943525909 0.131180549638237 -0.0002506689315777 -0.0346509309432735 -0.0384582971689438 -0.0229688987546746 -0.0230731636140099 0 -0.0166565096604324 -0.047278120037297 0 0.0184475067259738 0 0 -0.00614610034178065 -0.00524045932729703 0.0353849467954091 0.363163972075237 0 0.343890404715432 -0.190116831177574 -0.000294074965739566 0.0232548510146442 0.130883637257781 0.0127784085209774 -0.00184608599400363 0.075366974720766 -0.144704090112351 0.0925355370738319
"Err Global" 0.160445392393022 -0.450927502418588 0.00689878642436568 0.08855938389687 -0.0130698770038906 -0.0158786101935306 0.0426273287304347 0.0255863419474074 0 0.0477385939284251 0.0431229437918066 0.00432083435301329 -0.00252390452249162 0.0239597010971526 0.00642914308019211 -0.0222806947790036 0.00577016035353013 0.177441137205085 -0.124774120279635 0.372500855964135 0 0.211082049722431 -0.0158585414277815 0.0030953801427867 -0.231361642166624 0.0347524647081068 -0.0444186413838896 0.470736172853587 0.00503674259978317 0.15614878359077
"Ell Global" 0.099477796838134 -0.623635793777919 0.084211671148785 -0.0169460235663221 0.0139069402608806 -0.0329397541476461 0.0102396936537482 -0.00344485193221385 0.0110168441681948 0.0119393634290248 0.0357270109544253 0 0.0563369162256928 -0.00390536223838609 0.0047153504496587 0.0388320380236922 -0.0101490880548825 0.0525771358622729 0.379271599156612 -0.143142973623548 0.150327403601984 0 -0.0327837742326443 0.0129009590983487 0.019186202620817 0.0744507048756395 -0.121054473946391 0.116200487101934 -0.0385696330389028 0.0119146759937515
"AAo distensibility" -0.214455480801274 0.542495406215206 -0.0371920581010612 -0.0372036128368666 -0.0443054105139132 -0.0159158186766429 0 -0.0101125675916671 0 0 0.0301631388630888 0.00216429965489249 0.00609610887421307 -0.00975387931662801 0 -0.0310569457507165 -0.0146260550520808 0 0.0728137125678623 0 -0.0173685414878751 -0.0520980818318793 0 0.672562395387645 -0.0498535919147346 0.0344460745227279 -0.00867731243911443 0.0389032314201748 0.00871916045597466 -0.0109615367586753
"DAo distensibility" -0.0862830598999164 -0.0956893806340252 -0.0324490920980727 -0.116251782994054 0.0454848758426239 -0.0238906548782522 0 0.0195096452349099 0.00856227210702587 -0.00823915735365161 -0.0687258916093208 -0.00627685236105347 -0.00549780385656696 0 -0.0104823237046515 -0.00141418526490097 0.00970263059754954 -0.00344571023714378 0.0051782932073634 0.025801795925133 0.00432271841334097 0.0211620498447338 0.688156804417631 0 0.0573103465756162 -0.0217764519486213 0.00545503018430032 -0.0105812295668917 -0.0279470260086659 0.00199163629314718
"LVSVi" 0.0337028500768359 0.592647784284295 -0.346132987604212 0.0785258636297334 -0.102057339288536 -0.580178753950119 -0.300790434616303 0.0425035940701596 0.0313873326968979 0.00028039889196659 -0.173809351426041 -0.00903044137423516 -0.0631253321700895 0.0417001683523523 -0.00148151776915124 -0.0992266455670683 0.0113994158202602 -0.106093448635533 0.0862519734867486 0.276392477297438 -0.452031076299365 0.0534849418570669 -0.0891096816281886 0.102593696871076 0 0.145969457713913 -0.0710730574668764 0.351798398872616 0.389086396801708 0.678945633866425
"LAVmaxi" -0.114403213084316 -0.705507758042685 0.0116106106775707 0.0820100762598866 -0.0049039155810578 -0.0255504541873328 0 -0.0167177265703774 0.0110561815526575 0 -0.0940930564198077 0 0.0676723305285562 -0.0191268230385731 0.00384449360622773 0.0240846050215001 -0.00183395357046844 0.271754260520065 0.0215924938369588 0.029724803991983 0.102050649429895 0.30144575250981 0.0930116196337547 -0.0589011969293895 0.218057644917608 0 0.946478850152108 -0.0960947717529995 -0.0518116500316211 0.146767438664297
"LAVmini" 0.219916309080172 0 0.0510786110541232 -0.0249088874014437 0.00271664557525052 -0.0148166693381526 0 0.0274150583345455 -0.00202484213149317 0.0907317993557633 0.0882884178944025 0 -0.0265663089598534 0.00506703001203334 0.00114859060656799 -0.0269948374973178 -0.0165358933199568 -0.191312133253563 0.114194548906509 0 -0.110197262354715 -0.446108339749775 -0.0187938914591855 0.0118867199071202 -0.0948429792085068 0.853609911926243 0 -0.0161521054487105 0.0246793483970113 -0.152810977261145
"LVEF" 0.0222840043153214 -0.596832414276554 -0.224579481266477 -0.00775962464846123 0.000272476064854017 0.0286844920732605 0.0389379074634253 -0.0132705721093226 -0.0354939383901265 -0.0348607467701499 0.016072028497813 0 0.0128819605879641 -0.0157324156605582 -0.00826936297603109 0.0800358011558357 -0.0391256330867192 -0.308190130877206 0.106732355721772 0.086763071557055 0.514710535660902 0.177817193304522 0.0404035593713499 -0.00989871884723561 0.199044534327118 -0.0342362883847856 -0.0049304591293588 0 0.216870323551833 -0.18683585965688
"LVCO" -0.0887025356175975 0.278982034994604 0.929414870982251 0 0.0446756946219612 0.642723807407892 0.269476881090632 0.00325962053526221 0.00543528297515533 0.0813504297343978 0.161091285578673 -0.000961873786217643 0.049298261583413 -0.00547407241586223 0.0280198590680768 0.0287587198458787 0.0181556589710552 0.934501431782663 -0.239108424303405 -0.445117648948931 0.0224866779425082 -0.153359720685201 0.0286164941345199 -0.0838972110564447 0.579683390340061 -0.0530005657329033 0.028454183058772 0.570451336001236 0 -0.149648351566251
"RVSVi" 0.0293713832493385 0.781389726196136 0.0496315982303362 -0.00600660082207733 0.0118276890973224 -0.0596542653168035 -0.00048393458091552 -0.0249699255562416 1.19086953549256e-05 -0.0249437032437282 0.0355802701845928 -0.00730900209758278 -0.0467056746247329 0.0190580145694063 0 0 0.0289989599919453 0.131240594996486 0.0075222262562712 0.105997012048385 0.165394292734567 0.0159713102001921 -0.0127929848828269 0.00399704519664768 0.369160507524186 0.0576135947560406 -0.0657924552582126 -0.179203092006557 -0.0542594702076941 0
